,text,0,1,2,3,4,5,6,7,8,9,10,11,12
46,"Montague, M. J.; Li, G.; Gandolfi, B.; Khan, R.; Aken, B. L.; Searle, S. M.; Minx, P.; Hillier, L. W.; Koboldt, D. C.; Davis, B. W.; Driscoll, C. A. (2014). ""Comparative analysis of the domestic cat genome reveals genetic signatures underlying feline biology and domestication"". Proceedings of the National Academy of Sciences. 111 (48): 17230–17235. Bibcode:2014PNAS..11117230M. doi:10.1073/pnas.1410083111. PMC 4260561. PMID 25385592.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260561,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2014PNAS..11117230M,/wiki/Doi_(identifier),https://doi.org/10.1073%2Fpnas.1410083111,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260561,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/25385592,,,,
47,"Lipinski, M.J.; Froenicke, L.; Baysac, K. C.; Billings, N. C.; Leutenegger, C. M.; Levy, A. M.; Longeri, M.; Niini, T.; Ozpinar, H.; Slater, M.R.; Pedersen, N. C.; Lyons, L. A. (2008). ""The ascent of cat breeds: Genetic evaluations of breeds and worldwide random-bred populations"". Genomics. 91 (1): 12–21. doi:10.1016/j.ygeno.2007.10.009. PMC 2267438. PMID 18060738.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2267438,/wiki/Doi_(identifier),https://doi.org/10.1016%2Fj.ygeno.2007.10.009,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2267438,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/18060738,,,,,,
48,"O'Connor, T. P. (2007). ""Wild or domestic? Biometric variation in the cat Felis silvestris"" (PDF). International Journal of Osteoarchaeology. 17 (6): 581–595. doi:10.1002/oa.913. Archived (PDF) from the original on 21 January 2019. Retrieved 20 January 2019.",http://eprints.whiterose.ac.uk/3700/1/OConnor_Cats-IJOA-submitted.pdf,/wiki/Doi_(identifier),https://doi.org/10.1002%2Foa.913,https://web.archive.org/web/20190121010849/http://eprints.whiterose.ac.uk/3700/1/OConnor_Cats-IJOA-submitted.pdf,,,,,,,,,
49,"Sunquist, M.; Sunquist, F. (2002). ""Domestic cat"". Wild Cats of the World. University of Chicago Press. pp. 99–112. ISBN 9780226779997.",https://books.google.com/books?id=hFbJWMh9-OAC&pg=PA99,https://archive.org/details/wildcatsofworld00sunq/page/99,/wiki/University_of_Chicago_Press,https://archive.org/details/wildcatsofworld00sunq/page/99,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9780226779997,,,,,,,
50,"Walker, W.F. (1982). Study of the Cat with Reference to Human Beings (4th revised ed.). Thomson Learning/Cengage. ISBN 9780030579141.",/wiki/Cengage,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9780030579141,,,,,,,,,,
51,"Gillis, R., ed. (2002). ""Cat Skeleton"". Zoolab. La Crosse: University of Wisconsin Press. Archived from the original on 6 December 2006. Retrieved 7 September 2012.",https://web.archive.org/web/20061206105542/http://bioweb.uwlax.edu/zoolab/Table_of_Contents/Lab-9b/Cat_Skeleton_1/cat_skeleton_1.htm,/wiki/University_of_Wisconsin,http://bioweb.uwlax.edu/zoolab/Table_of_Contents/Lab-9b/Cat_Skeleton_1/cat_skeleton_1.htm,,,,,,,,,,
52,"Case, Linda P. (2003). The Cat: Its behavior, nutrition, and health. Ames: Iowa State University Press. ISBN 9780813803319.",/wiki/Iowa_State_University,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9780813803319,,,,,,,,,,
53,"Smith, Patricia; Tchernov, Eitan (1992). Structure, Function, and Evolution of Teeth. Freund Publishing House. p. 217. ISBN 9789652222701.",/wiki/Freund_Publishing_House,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9789652222701,,,,,,,,,,
54,"Carr, William H. A. (1 January 1978). The New Basic Book of the Cat. Scribner's. p. 174. ISBN 9780684155494.",https://archive.org/details/newbasicbookofca00carr/page/174,/wiki/Scribner%27s,https://archive.org/details/newbasicbookofca00carr/page/174,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9780684155494,,,,,,,,
55,"Kitchener, A. C.; Van Valkenburgh, B.; Yamaguchi, N. (2010). ""Felid form and function"". In Macdonald, D.; Loveridge, A. (eds.). Biology and Conservation of wild felids. Oxford University Press. pp. 83–106. Archived from the original on 16 February 2021. Retrieved 10 October 2019.",https://www.researchgate.net/publication/266753114,https://web.archive.org/web/20210216135340/https://www.researchgate.net/publication/266753114_Felid_form_and_function,,,,,,,,,,,
